GPU: NVIDIA GeForce RTX 2070
--- REPRISE : Chargement du cerveau existant (save_terrapolis_models\model_latest.pt) ---
Modèle chargé avec succès ! Epsilon réglé à 0.3
Démarrage de l'entraînement...
--> Démarrage entraînement avec Epsilon = 0.3
Ep 870 | Score: 0 | Loss: 12865979.00 | Eps: 0.10
Ep 880 | Score: 0 | Loss: 12161389.00 | Eps: 0.10
Ep 890 | Score: -4800 | Loss: 954480.56 | Eps: 0.10
Ep 900 | Score: 0 | Loss: 14186739.00 | Eps: 0.10
Ep 910 | Score: -7200 | Loss: 7570212.50 | Eps: 0.10
Ep 920 | Score: 0 | Loss: 13219772.00 | Eps: 0.10
Ep 930 | Score: -8000 | Loss: 10629111.00 | Eps: 0.10
Ep 940 | Score: -7400 | Loss: 12924198.00 | Eps: 0.10
Ep 950 | Score: -7400 | Loss: 12242838.00 | Eps: 0.10
Ep 960 | Score: 0 | Loss: 13934283.00 | Eps: 0.10
Ep 970 | Score: -4000 | Loss: 594566.31 | Eps: 0.10
Ep 980 | Score: -8200 | Loss: 16123193.00 | Eps: 0.10
Ep 990 | Score: -9200 | Loss: 21456796.00 | Eps: 0.10
Ep 1000 | Score: 0 | Loss: 17692748.00 | Eps: 0.10
Ep 1010 | Score: 0 | Loss: 16512771.00 | Eps: 0.10
Ep 1020 | Score: 0 | Loss: 17027590.00 | Eps: 0.10
Ep 1030 | Score: -4600 | Loss: 305093.88 | Eps: 0.10
Ep 1040 | Score: -7600 | Loss: 8026685.00 | Eps: 0.10
Ep 1050 | Score: -5600 | Loss: 875321.19 | Eps: 0.10
Ep 1060 | Score: -5800 | Loss: 591872.12 | Eps: 0.10
Ep 1070 | Score: -600 | Loss: 17453098.00 | Eps: 0.10
Ep 1080 | Score: 0 | Loss: 15038736.00 | Eps: 0.10
Ep 1090 | Score: -6800 | Loss: 6483819.00 | Eps: 0.10
Ep 1100 | Score: -8800 | Loss: 17312614.00 | Eps: 0.10
Ep 1110 | Score: -4800 | Loss: 648655.06 | Eps: 0.10
Ep 1120 | Score: -4400 | Loss: 308742.31 | Eps: 0.10
Ep 1130 | Score: -7000 | Loss: 5605340.00 | Eps: 0.10
Ep 1140 | Score: -4800 | Loss: 665121.88 | Eps: 0.10
Ep 1150 | Score: -1200 | Loss: 6113628.00 | Eps: 0.10
Ep 1160 | Score: 0 | Loss: 12590420.00 | Eps: 0.10
Ep 1170 | Score: -4600 | Loss: 266402.12 | Eps: 0.10
Ep 1180 | Score: -7000 | Loss: 15129481.00 | Eps: 0.10
Ep 1190 | Score: -6600 | Loss: 3339612.50 | Eps: 0.10
Ep 1200 | Score: -5800 | Loss: 813308.44 | Eps: 0.10
Ep 1210 | Score: -600 | Loss: 16392662.00 | Eps: 0.10
Ep 1220 | Score: -5400 | Loss: 332775.38 | Eps: 0.10
Ep 1230 | Score: -2200 | Loss: 5623613.50 | Eps: 0.10
Ep 1240 | Score: 0 | Loss: 17062102.00 | Eps: 0.10
Ep 1250 | Score: -3200 | Loss: 1795131.50 | Eps: 0.10
Ep 1260 | Score: -8200 | Loss: 15557889.00 | Eps: 0.10
Ep 1270 | Score: 0 | Loss: 10836917.00 | Eps: 0.10
Ep 1280 | Score: -7800 | Loss: 14808397.00 | Eps: 0.10
Ep 1290 | Score: -5600 | Loss: 3093749.50 | Eps: 0.10
Ep 1300 | Score: -7400 | Loss: 14629415.00 | Eps: 0.10
Ep 1310 | Score: -7600 | Loss: 7957918.50 | Eps: 0.10
