CPU
--- REPRISE : Chargement du cerveau existant (save_terrapolis_models\model_latest.pt) ---
Modèle chargé avec succès ! Epsilon réglé à 0.3
Démarrage de l'entraînement...
--> Démarrage entraînement avec Epsilon = 0.3
Ep 860 | Score: -18322 | Loss: 592304704.00 | Eps: 0.10
Ep 870 | Score: 96223 | Loss: 8191822848.00 | Eps: 0.10
Ep 880 | Score: 9285 | Loss: 14092913.00 | Eps: 0.10
Ep 890 | Score: 2297 | Loss: 28957798.00 | Eps: 0.10
Ep 900 | Score: 26409 | Loss: 343229280.00 | Eps: 0.10
Ep 910 | Score: -4039 | Loss: 182211888.00 | Eps: 0.10
Ep 920 | Score: 6526 | Loss: 81600072.00 | Eps: 0.10
Ep 930 | Score: -11617 | Loss: 533076160.00 | Eps: 0.10
Ep 940 | Score: 19263 | Loss: 94220512.00 | Eps: 0.10
Ep 950 | Score: 10990 | Loss: 10293371.00 | Eps: 0.10
Ep 960 | Score: 11406 | Loss: 35899544.00 | Eps: 0.10
Ep 970 | Score: 32073 | Loss: 761097792.00 | Eps: 0.10
Ep 980 | Score: 2172 | Loss: 9482278.00 | Eps: 0.10
Ep 990 | Score: -5571 | Loss: 124647640.00 | Eps: 0.10
Ep 1000 | Score: 4670 | Loss: 203856.75 | Eps: 0.10
Ep 1010 | Score: 19135 | Loss: 215034368.00 | Eps: 0.10
Ep 1020 | Score: -6057 | Loss: 137449696.00 | Eps: 0.10
Ep 1030 | Score: 38518 | Loss: 1149583744.00 | Eps: 0.10
Ep 1040 | Score: -14109 | Loss: 317464256.00 | Eps: 0.10
Ep 1050 | Score: -3325 | Loss: 41880868.00 | Eps: 0.10
Ep 1060 | Score: 67676 | Loss: 4088386560.00 | Eps: 0.10
Ep 1070 | Score: -3296 | Loss: 53305444.00 | Eps: 0.10
Ep 1080 | Score: -6611 | Loss: 154176720.00 | Eps: 0.10
Ep 1090 | Score: -15037 | Loss: 514309792.00 | Eps: 0.10
Ep 1100 | Score: -1166 | Loss: 256670384.00 | Eps: 0.10
Ep 1110 | Score: 5895 | Loss: 49817508.00 | Eps: 0.10
Ep 1120 | Score: 49978 | Loss: 1044169792.00 | Eps: 0.10
Ep 1130 | Score: 621 | Loss: 506426144.00 | Eps: 0.10
Ep 1140 | Score: -1669 | Loss: 417562496.00 | Eps: 0.10
Ep 1150 | Score: 26039 | Loss: 313904128.00 | Eps: 0.10
Ep 1160 | Score: 16767 | Loss: 134333392.00 | Eps: 0.10
Ep 1170 | Score: -15558 | Loss: 425072736.00 | Eps: 0.10
Ep 1180 | Score: 27879 | Loss: 527903712.00 | Eps: 0.10
Ep 1190 | Score: 22372 | Loss: 247597168.00 | Eps: 0.10
Ep 1200 | Score: 9138 | Loss: 9886275.00 | Eps: 0.10
Ep 1210 | Score: -1472 | Loss: 49861680.00 | Eps: 0.10
Ep 1220 | Score: -10203 | Loss: 241279472.00 | Eps: 0.10
Ep 1230 | Score: 26870 | Loss: 478874112.00 | Eps: 0.10
Ep 1240 | Score: 61875 | Loss: 2999262976.00 | Eps: 0.10
Ep 1250 | Score: 15375 | Loss: 31968536.00 | Eps: 0.10
Ep 1260 | Score: 15408 | Loss: 21114828.00 | Eps: 0.10
Ep 1270 | Score: -7773 | Loss: 322942432.00 | Eps: 0.10
Ep 1280 | Score: 17505 | Loss: 71835952.00 | Eps: 0.10
Ep 1290 | Score: 20325 | Loss: 65811312.00 | Eps: 0.10
Ep 1300 | Score: 9370 | Loss: 52781032.00 | Eps: 0.10
Ep 1310 | Score: 10537 | Loss: 49430140.00 | Eps: 0.10
Ep 1320 | Score: 19437 | Loss: 24875230.00 | Eps: 0.10
Ep 1330 | Score: -17362 | Loss: 1103160960.00 | Eps: 0.10
Ep 1340 | Score: 6233 | Loss: 215304480.00 | Eps: 0.10
Ep 1350 | Score: 69402 | Loss: 1873732480.00 | Eps: 0.10
Ep 1360 | Score: 35191 | Loss: 28669774.00 | Eps: 0.10
Ep 1370 | Score: 38260 | Loss: 67609552.00 | Eps: 0.10
Ep 1380 | Score: 13747 | Loss: 124063176.00 | Eps: 0.10
