CPU
--- REPRISE : Chargement du cerveau existant (save_terrapolis_models\model_latest.pt) ---
Mod le charg  avec succ s ! Epsilon r gl    0.3
D marrage de l'entra nement...
--> D marrage entra nement avec Epsilon = 0.3
Ep 840 | Score: 260540 | Loss: 26623410176.00 | Eps: 0.10
Ep 850 | Score: 253512 | Loss: 19429644288.00 | Eps: 0.10
Ep 860 | Score: 253928 | Loss: 12873385984.00 | Eps: 0.10
Ep 870 | Score: -75170 | Loss: 24847810560.00 | Eps: 0.10
Ep 880 | Score: -56793 | Loss: 13889607680.00 | Eps: 0.10
Ep 890 | Score: -66195 | Loss: 10644465664.00 | Eps: 0.10
Ep 900 | Score: 2472 | Loss: 1033985472.00 | Eps: 0.10
Ep 910 | Score: -80877 | Loss: 32921874432.00 | Eps: 0.10
Ep 920 | Score: 33094 | Loss: 4342982656.00 | Eps: 0.10
Ep 930 | Score: 258655 | Loss: 15026681856.00 | Eps: 0.10
Ep 940 | Score: 270201 | Loss: 28883169280.00 | Eps: 0.10
Ep 950 | Score: 223463 | Loss: 23319662592.00 | Eps: 0.10
Ep 960 | Score: 97387 | Loss: 1907337088.00 | Eps: 0.10
Ep 970 | Score: -7850 | Loss: 8143725056.00 | Eps: 0.10
Ep 980 | Score: -85249 | Loss: 51439308800.00 | Eps: 0.10
Ep 990 | Score: 211807 | Loss: 8236588544.00 | Eps: 0.10
Ep 1000 | Score: 255496 | Loss: 10826533888.00 | Eps: 0.10
Ep 1010 | Score: 154717 | Loss: 3688712448.00 | Eps: 0.10
Ep 1020 | Score: 259890 | Loss: 16803804160.00 | Eps: 0.10
Ep 1030 | Score: -49838 | Loss: 13002885120.00 | Eps: 0.10
Ep 1040 | Score: -32381 | Loss: 7039074816.00 | Eps: 0.10
Ep 1050 | Score: 270051 | Loss: 40808591360.00 | Eps: 0.10
Ep 1060 | Score: -44102 | Loss: 11872119808.00 | Eps: 0.10
Ep 1070 | Score: -83415 | Loss: 42691833856.00 | Eps: 0.10
Ep 1080 | Score: 265116 | Loss: 27468533760.00 | Eps: 0.10
Ep 1090 | Score: 259085 | Loss: 27950510080.00 | Eps: 0.10
Ep 1100 | Score: -70879 | Loss: 24855420928.00 | Eps: 0.10
Ep 1110 | Score: -7104 | Loss: 10564948992.00 | Eps: 0.10
Ep 1120 | Score: 263595 | Loss: 20945205248.00 | Eps: 0.10
Ep 1130 | Score: 262156 | Loss: 22605613056.00 | Eps: 0.10
Ep 1140 | Score: 269425 | Loss: 28038871040.00 | Eps: 0.10
Ep 1150 | Score: 264910 | Loss: 25401552896.00 | Eps: 0.10
Ep 1160 | Score: 269527 | Loss: 21261060096.00 | Eps: 0.10
Ep 1170 | Score: 19072 | Loss: 6237825536.00 | Eps: 0.10
Ep 1180 | Score: 77733 | Loss: 624865152.00 | Eps: 0.10
Ep 1190 | Score: 268929 | Loss: 13783821312.00 | Eps: 0.10
Ep 1200 | Score: 258585 | Loss: 9574881280.00 | Eps: 0.10
Ep 1210 | Score: -67630 | Loss: 25392523264.00 | Eps: 0.10
Ep 1220 | Score: -65828 | Loss: 14952468480.00 | Eps: 0.10
Ep 1230 | Score: 114165 | Loss: 5232269312.00 | Eps: 0.10
Ep 1240 | Score: 130291 | Loss: 7337671168.00 | Eps: 0.10
Ep 1250 | Score: 124067 | Loss: 3997808128.00 | Eps: 0.10
Ep 1260 | Score: 265904 | Loss: 24595347456.00 | Eps: 0.10
Ep 1270 | Score: 261441 | Loss: 15472032768.00 | Eps: 0.10
Ep 1280 | Score: 258878 | Loss: 16951154688.00 | Eps: 0.10
Ep 1290 | Score: -81164 | Loss: 34089766912.00 | Eps: 0.10
Ep 1300 | Score: 221751 | Loss: 20176244736.00 | Eps: 0.10
Ep 1310 | Score: 461 | Loss: 5097216000.00 | Eps: 0.10
Ep 1320 | Score: 263935 | Loss: 20157372416.00 | Eps: 0.10
Ep 1330 | Score: -73858 | Loss: 26842408960.00 | Eps: 0.10
Ep 1340 | Score: 256807 | Loss: 25854214144.00 | Eps: 0.10
Ep 1350 | Score: 134821 | Loss: 6799542272.00 | Eps: 0.10
Ep 1360 | Score: 225938 | Loss: 14294350848.00 | Eps: 0.10
Ep 1370 | Score: 278942 | Loss: 10197282816.00 | Eps: 0.10
Ep 1380 | Score: 254818 | Loss: 9602499584.00 | Eps: 0.10
Ep 1390 | Score: -89059 | Loss: 43580997632.00 | Eps: 0.10
Ep 1400 | Score: 90665 | Loss: 2908385024.00 | Eps: 0.10
Ep 1410 | Score: -16028 | Loss: 3770003968.00 | Eps: 0.10
Ep 1420 | Score: 262013 | Loss: 26946457600.00 | Eps: 0.10
Ep 1430 | Score: -63204 | Loss: 18342158336.00 | Eps: 0.10
Ep 1440 | Score: -3258 | Loss: 8829884416.00 | Eps: 0.10
Ep 1450 | Score: 269545 | Loss: 16185108480.00 | Eps: 0.10
Ep 1460 | Score: 267900 | Loss: 16145021952.00 | Eps: 0.10
Ep 1470 | Score: 144845 | Loss: 4161274624.00 | Eps: 0.10
Ep 1480 | Score: 263201 | Loss: 24586276864.00 | Eps: 0.10
Ep 1490 | Score: -95341 | Loss: 45451223040.00 | Eps: 0.10
Ep 1500 | Score: -76763 | Loss: 21008414720.00 | Eps: 0.10
Ep 1510 | Score: -91849 | Loss: 28055228416.00 | Eps: 0.10
Ep 1520 | Score: 278865 | Loss: 45433516032.00 | Eps: 0.10
Ep 1530 | Score: -63701 | Loss: 19231807488.00 | Eps: 0.10
Ep 1540 | Score: -87178 | Loss: 54347280384.00 | Eps: 0.10
Ep 1550 | Score: 259212 | Loss: 18295533568.00 | Eps: 0.10
Ep 1560 | Score: 178047 | Loss: 9042113536.00 | Eps: 0.10
Ep 1570 | Score: -57233 | Loss: 25592494080.00 | Eps: 0.10
Ep 1580 | Score: -82169 | Loss: 42211037184.00 | Eps: 0.10
Ep 1590 | Score: -89397 | Loss: 51224485888.00 | Eps: 0.10
Ep 1600 | Score: -63285 | Loss: 16798240768.00 | Eps: 0.10
Ep 1610 | Score: -69982 | Loss: 15170870272.00 | Eps: 0.10
Ep 1620 | Score: 262832 | Loss: 33973145600.00 | Eps: 0.10
Ep 1630 | Score: -65629 | Loss: 12713020416.00 | Eps: 0.10
Ep 1640 | Score: 263679 | Loss: 20544673792.00 | Eps: 0.10
Ep 1650 | Score: -85244 | Loss: 41919340544.00 | Eps: 0.10
Ep 1660 | Score: 264139 | Loss: 34857385984.00 | Eps: 0.10
Ep 1670 | Score: 266914 | Loss: 40624709632.00 | Eps: 0.10
Ep 1680 | Score: 271499 | Loss: 37155557376.00 | Eps: 0.10
Ep 1690 | Score: 245936 | Loss: 18781196288.00 | Eps: 0.10
Ep 1700 | Score: -66278 | Loss: 28414420992.00 | Eps: 0.10
Ep 1710 | Score: -80638 | Loss: 30318962688.00 | Eps: 0.10
Ep 1720 | Score: -78868 | Loss: 26347882496.00 | Eps: 0.10
Ep 1730 | Score: 264488 | Loss: 29306974208.00 | Eps: 0.10
Ep 1740 | Score: 277490 | Loss: 36866265088.00 | Eps: 0.10
Ep 1750 | Score: 153780 | Loss: 10412441600.00 | Eps: 0.10
Ep 1760 | Score: -76295 | Loss: 24904640512.00 | Eps: 0.10
Ep 1770 | Score: 166901 | Loss: 13581562880.00 | Eps: 0.10
Ep 1780 | Score: 134979 | Loss: 7064022016.00 | Eps: 0.10
Ep 1790 | Score: 187920 | Loss: 14956039168.00 | Eps: 0.10
Ep 1800 | Score: -53530 | Loss: 8537549312.00 | Eps: 0.10
Ep 1810 | Score: 261517 | Loss: 14106011648.00 | Eps: 0.10
Ep 1820 | Score: 259584 | Loss: 9021016064.00 | Eps: 0.10
Ep 1830 | Score: 278378 | Loss: 31344918528.00 | Eps: 0.10
Ep 1840 | Score: -54908 | Loss: 6115355136.00 | Eps: 0.10
Ep 1850 | Score: 264556 | Loss: 49284739072.00 | Eps: 0.10
Ep 1860 | Score: -64549 | Loss: 8961262592.00 | Eps: 0.10
Ep 1870 | Score: -36531 | Loss: 4966468096.00 | Eps: 0.10
Ep 1880 | Score: 262030 | Loss: 26047172608.00 | Eps: 0.10
Ep 1890 | Score: -70160 | Loss: 29716142080.00 | Eps: 0.10
Ep 1900 | Score: -66409 | Loss: 24158152704.00 | Eps: 0.10
Ep 1910 | Score: -36100 | Loss: 11052188672.00 | Eps: 0.10
Ep 1920 | Score: 260386 | Loss: 27460380672.00 | Eps: 0.10
Ep 1930 | Score: 263599 | Loss: 26554408960.00 | Eps: 0.10
Ep 1940 | Score: 139977 | Loss: 7193200128.00 | Eps: 0.10
